FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. Kristin Noble (R),"Noble, Kristin",Kristin,Noble,R,Hillsborough,2,Hillsborough-02,409140,139,139,137,2,0,0,184,182,0,99,A+,2,101,A+
Rep. Tom Mannion (R),"Mannion, Tom",Tom,Mannion,R,Hillsborough,1,Hillsborough-01,409126,139,139,136,3,0,0,184,181,0,98,A+,2,101,A+
Rep. Diane Pauer (R),"Pauer, Diane",Diane,Pauer,R,Hillsborough,36,Hillsborough-36,409010,139,139,136,3,0,0,184,180,0,98,A+,2,100,A+
Rep. Robert Wherry (R),"Wherry, Robert",Robert,Wherry,R,Hillsborough,13,Hillsborough-13,409187,139,139,135,4,0,0,184,178,0,97,A,4,100,A+
Rep. Matt Sabourin dit Choinière (R),"Sabourin dit Choinière, Matt",Matt,Sabourin dit Choinière,R,Rockingham,30,Rockingham-30,409289,139,139,134,5,0,0,184,176,0,96,A,4,100,A+
Rep. Ross Berry (R),"Berry, Ross",Ross,Berry,R,Hillsborough,44,Hillsborough-44,409019,139,139,134,4,1,0,184,178,1,96,A,3,100,A+
Rep. Erica Layon (R),"Layon, Erica",Erica,Layon,R,Rockingham,13,Rockingham-13,409035,139,139,135,3,1,0,184,179,1,97,A+,2,100,A+
Rep. Dan McGuire (R),"McGuire, Dan",Dan,McGuire,R,Merrimack,14,Merrimack-14,376984,139,139,132,3,4,0,184,178,3,97,A,3,99,A+
Rep. Glenn Bailey (R),"Bailey, Glenn",Glenn,Bailey,R,Strafford,2,Strafford-02,409046,139,139,137,2,0,0,184,182,0,99,A+,0,99,A+
Rep. Susan DeRoy (R),"DeRoy, Susan",Susan,DeRoy,R,Strafford,3,Strafford-03,409221,139,139,132,4,3,0,184,176,2,95,A,4,99,A+
Rep. Samuel Farrington (R),"Farrington, Samuel",Samuel,Farrington,R,Strafford,8,Strafford-08,409229,139,139,136,3,0,0,184,180,0,98,A+,1,99,A+
Rep. Clayton Wood (R),"Wood, Clayton",Clayton,Wood,R,Merrimack,13,Merrimack-13,409188,139,139,135,4,0,0,184,179,0,97,A+,2,99,A+
Rep. Henry Giasson (R),"Giasson, Henry",Henry,Giasson,R,Hillsborough,29,Hillsborough-29,409235,139,139,135,4,0,0,184,178,0,97,A,2,98,A+
Rep. Lisa Mazur (R),"Mazur, Lisa",Lisa,Mazur,R,Hillsborough,44,Hillsborough-44,409129,139,139,134,5,0,0,184,176,0,96,A,3,98,A+
Rep. Carol McGuire (R),"McGuire, Carol",Carol,McGuire,R,Merrimack,27,Merrimack-27,376841,139,139,135,3,1,0,184,180,1,98,A+,1,98,A+
Rep. James Thibault (R),"Thibault, James",James,Thibault,R,Merrimack,25,Merrimack-25,409303,139,139,132,4,3,0,184,177,2,96,A,2,98,A+
Rep. Lino Avellani (R),"Avellani, Lino",Lino,Avellani,R,Carroll,4,Carroll-04,377205,139,139,136,3,0,0,184,180,0,98,A+,0,98,A+
Rep. Melissa Litchfield (R),"Litchfield, Melissa",Melissa,Litchfield,R,Rockingham,32,Rockingham-32,409040,139,139,134,3,2,0,184,178,1,97,A,1,98,A+
Rep. Jason Osborne (R),"Osborne, Jason",Jason,Osborne,R,Rockingham,2,Rockingham-02,377253,139,139,129,6,4,0,184,174,3,94,A,3,98,A+
Rep. Calvin Beaulier (R),"Beaulier, Calvin",Calvin,Beaulier,R,Grafton,1,Grafton-01,409207,139,139,135,4,0,0,184,179,0,97,A+,0,98,A+
