Name,Office,Score,Rating,SecondaryScore,AlignedThreshold,IsTPActionAligned
"Calvin Beaulier","State Representative","100.00","America First","100.00","80.00","yes"
"Thomas Kaczynski","State Representative","100.00","America First","100.00","80.00","yes"
"Kevin Scully","State Representative","100.00","America First","100.00","80.00","yes"
"Michael Aron","State Representative","100.00","America First","100.00","80.00","yes"
"Robert Wherry","State Representative","100.00","America First","100.00","80.00","yes"
"Erica Layon","State Representative","100.00","America First","100.00","80.00","yes"
"Dan McGuire","State Representative","100.00","America First","100.00","80.00","yes"
"John Sellers","State Representative","100.00","America First","100.00","80.00","yes"
"Alvin See","State Representative","100.00","America First","100.00","80.00","yes"
"Carol McGuire","State Representative","100.00","America First","100.00","80.00","yes"
"Henry Giasson","State Representative","100.00","America First","100.00","80.00","yes"
"Diane Pauer","State Representative","100.00","America First","100.00","80.00","yes"
"Lisa Mazur","State Representative","100.00","America First","100.00","80.00","yes"
"Katy Peternel","State Representative","98.81","America First","100.00","80.00","yes"
"Lex Berezhny","State Representative","98.81","America First","98.28","80.00","yes"
"Jordan Ulery","State Representative","98.81","America First","100.00","80.00","yes"
"Steven Kesselring","State Representative","98.81","America First","98.28","80.00","yes"
"Kelley Potenza","State Representative","98.81","America First","98.28","80.00","yes"
"Joe Alexander","State Representative","98.81","America First","98.28","80.00","yes"
"Tom Mannion","State Representative","97.62","America First","100.00","80.00","yes"
"Jason Osborne","State Representative","97.62","America First","100.00","80.00","yes"
"Glenn Bailey","State Representative","97.62","America First","100.00","80.00","yes"
"Walter Spilsbury","State Representative","97.62","America First","100.00","80.00","yes"
"Judy Aron","State Representative","97.62","America First","100.00","80.00","yes"
"Roderick Ladd","State Representative","97.62","America First","100.00","80.00","yes"
"Michael Vose","State Representative","97.62","America First","100.00","80.00","yes"
"George Grant","State Representative","97.62","America First","100.00","80.00","yes"
"Samuel Farrington","State Representative","97.62","America First","100.00","80.00","yes"
"Sly Karasinski","State Representative","97.62","America First","100.00","80.00","yes"
"Yury Polozov","State Representative","97.62","America First","100.00","80.00","yes"
"Peter Mehegan","State Representative","97.62","America First","100.00","80.00","yes"
"Ralph Boehm","State Representative","97.62","America First","100.00","80.00","yes"
"Debra DeSimone","State Representative","97.62","America First","100.00","80.00","yes"
"Matt Drew","State Representative","97.62","America First","100.00","80.00","yes"
"James Thibault","State Representative","97.62","America First","100.00","80.00","yes"
"Keith Erf","State Representative","97.62","America First","100.00","80.00","yes"
"Sherri Reinfurt","State Representative","97.62","America First","100.00","80.00","yes"
"Diane Kelley","State Representative","97.62","America First","100.00","80.00","yes"
