candidate,party,office,county,district,votes_received,vote_percentage,total_contest_votes,seats_available,status,ap_race_id,source_url
"Aria DiMezzo","Dem","State House","Cheshire","3","132","18.46","715","1","lost_primary","20260908NH31502","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"C. Blake","Dem","State House","Cheshire","4","38","5.79","656","1","lost_primary","20260908NH31505","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"Michal B. Jakimowicz","Dem","State House","Hillsborough","15","281","22.07","1273","2","lost_primary","20260908NH31606","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"Robert Daniel","Dem","State House","Hillsborough","24","258","26.52","973","2","lost_primary","20260908NH31634","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"Derek Verbrugge","Dem","State House","Hillsborough","25","92","11.54","797","2","lost_primary","20260908NH31637","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"Brok Woodward-Griffith","Dem","State House","Hillsborough","26","71","6.45","1100","2","lost_primary","20260908NH31640","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"Mark Grigoriev","Dem","State House","Hillsborough","26","73","6.64","1100","2","lost_primary","20260908NH31640","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"Rebecca Smith","Dem","State House","Hillsborough","41","1345","20.9","6434","3","lost_primary","20260908NH31909","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"Gabe Holdren","Dem","State House","Merrimack","12","149","10.59","1407","2","lost_primary","20260908NH31681","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"Thomas Brennan","Dem","State House","Merrimack","30","1317","48.24","2730","1","lost_primary","20260908NH32134","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"Gale Bailey","Dem","State House","Strafford","10","541","7.48","7237","4","lost_primary","20260908NH32038","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"Micah Warnock","Dem","State House","Strafford","10","928","12.82","7237","4","lost_primary","20260908NH32038","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"PAUL RASMUSSEN","Dem","State House","Strafford","10","497","6.87","7237","4","lost_primary","20260908NH32038","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"John Stone","Dem","State House","Strafford","12","684","12.07","5665","4","lost_primary","20260908NH32044","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"Dave DePuy","Dem","State Senate","","16","1102","20.32","5423","1","lost_primary","20260908NH30059","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"Matthew Ping","Dem","State Senate","","20","850","19.26","4414","1","lost_primary","20260908NH30067","https://www.nhpr.org/elections/primary-2026/results/dem-state-house-senate"
"Caroline Rockafellow","GOP","State House","Belknap","2","331","22.58","1466","2","lost_primary","20260908NH31466","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"Edward Twaddell","GOP","State House","Belknap","2","141","9.62","1466","2","lost_primary","20260908NH31466","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"Dana Silcock","GOP","State House","Belknap","4","287","42.9","669","1","lost_primary","20260908NH31472","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"Heather Ingala","GOP","State House","Belknap","6","389","8.88","4382","4","lost_primary","20260908NH31478","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"Robert Binda","GOP","State House","Belknap","6","596","13.6","4382","4","lost_primary","20260908NH31478","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"George Mottram","GOP","State House","Carroll","3","587","26.33","2229","2","lost_primary","20260908NH31488","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"Dallas Emery, Jr","GOP","State House","Carroll","7","609","29","2100","1","lost_primary","20260908NH31811","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"Jeremy Slottje","GOP","State House","Hillsborough","13","1010","11.97","8438","6","lost_primary","20260908NH31601","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"George D'Orazio","GOP","State House","Hillsborough","19","170","24.96","681","2","lost_primary","20260908NH31620","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"Ralph Boehm","GOP","State House","Hillsborough","38","1282","30.65","4183","2","lost_primary","20260908NH31901","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"Glenn Nielsen","GOP","State House","Merrimack","2","89","24.59","362","1","lost_primary","20260908NH31651","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"Christian Danforth","GOP","State House","Merrimack","4","376","24.35","1544","2","lost_primary","20260908NH31657","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"Bruce Gezelman","GOP","State House","Merrimack","8","189","13.78","1372","3","lost_primary","20260908NH31669","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"Joshua Shapiro,","GOP","State House","Merrimack","14","154","27.9","552","1","lost_primary","20260908NH31925","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
"Mary Deak","GOP","State House","Merrimack","18","51","35.17","145","1","lost_primary","20260908NH31940","https://www.nhpr.org/elections/primary-2026/results/gop-state-house-senate"
